County,fips
Fannin,48147
Archer,48009
Galveston,48167
Edwards,48137
Erath,48143
Cass,48067
Red River,48387
Mills,48333
Anderson,48001
Oldham,48359
Johnson,48251
Panola,48365
Moore,48341
Camp,48063
Schleicher,48413
Motley,48345
Jackson,48239
Frio,48163
Lynn,48305
Chambers,48071
Culberson,48109
Hopkins,48223
Tom Green,48451
Kendall,48259
Presidio,48377
Fayette,48149
Dallas,48113
Swisher,48437
Hemphill,48211
Wilbarger,48487
Nacogdoches,48347
El Paso,48141
Wharton,48481
Montague,48337
Armstrong,48011
Lamb,48279
Guadalupe,48187
Cherokee,48073
Limestone,48293
Ochiltree,48357
Calhoun,48057
Donley,48129
Polk,48373
Atascosa,48013
Kimble,48267
Matagorda,48321
Starr,48427
San Patricio,48409
Uvalde,48463
Young,48503
Jim Wells,48249
Crockett,48105
Robertson,48395
Austin,48015
Brown,48049
Grayson,48181
Milam,48331
Leon,48289
Martin,48317
Aransas,48007
Brazos,48041
Henderson,48213
Coleman,48083
Falls,48145
Freestone,48161
Sherman,48421
Callahan,48059
Jim Hogg,48247
Wilson,48493
Hamilton,48193
Navarro,48349
Loving,48301
Hays,48209
Tyler,48457
Collingsworth,48087
Angelina,48005
Lamar,48277
Runnels,48399
Kleberg,48273
Shackelford,48417
Live Oak,48297
Throckmorton,48447
Montgomery,48339
Refugio,48391
Travis,48453
Houston,48225
Marion,48315
Pecos,48371
Willacy,48489
Gray,48179
McCulloch,48307
Liberty,48291
Dickens,48125
Palo Pinto,48363
Morris,48343
La Salle,48283
Bosque,48035
Rains,48379
Burnet,48053
Trinity,48455
Jack,48237
Smith,48423
Burleson,48051
Denton,48121
Orange,48361
Bandera,48019
Maverick,48323
Cooke,48097
Wheeler,48483
Harrison,48203
McLennan,48309
Jeff Davis,48243
San Saba,48411
Bowie,48037
Walker,48471
Parker,48367
Parmer,48369
Hansford,48195
Cottle,48101
Yoakum,48501
Haskell,48207
Hockley,48219
Jefferson,48245
Brewster,48043
Roberts,48393
Comal,48091
Gregg,48183
Potter,48375
Titus,48449
Nolan,48353
Hale,48189
Crane,48103
Wise,48497
Howard,48227
Irion,48235
Ward,48475
Duval,48131
Val Verde,48465
Kenedy,48261
Cameron,48061
Dallam,48111
Brazoria,48039
Grimes,48185
Llano,48299
Harris,48201
Lubbock,48303
Madison,48313
Franklin,48159
Andrews,48003
Gaines,48165
Hidalgo,48215
Glasscock,48173
Foard,48155
Deaf Smith,48117
Eastland,48133
Baylor,48023
Upton,48461
Hunt,48231
Wichita,48485
Somervell,48425
Upshur,48459
Jones,48253
Washington,48477
Hartley,48205
Zapata,48505
Brooks,48047
Hall,48191
Bee,48025
Briscoe,48045
Goliad,48175
Nueces,48355
Comanche,48093
Childress,48075
Bastrop,48021
Hill,48217
Hardin,48199
Clay,48077
Jasper,48241
Kerr,48265
King,48269
Cochran,48079
Colorado,48089
DeWitt,48123
Lipscomb,48295
Rockwall,48397
Kinney,48271
Wood,48499
Bailey,48017
Gillespie,48171
Hudspeth,48229
Sutton,48435
Tarrant,48439
Castro,48069
Reagan,48383
Mason,48319
Borden,48033
Fort Bend,48157
Mitchell,48335
Midland,48329
Floyd,48153
Hood,48221
Terrell,48443
Medina,48325
Winkler,48495
Reeves,48389
Williamson,48491
Zavala,48507
Kent,48263
Menard,48327
Sabine,48403
Coryell,48099
Sterling,48431
Lampasas,48281
Dimmit,48127
Newton,48351
Caldwell,48055
Lee,48287
Karnes,48255
Taylor,48441
San Augustine,48405
Real,48385
Stephens,48429
Blanco,48031
Knox,48275
Bexar,48029
Victoria,48469
Hardeman,48197
Dawson,48115
Delta,48119
Ector,48135
San Jacinto,48407
Scurry,48415
McMullen,48311
Coke,48081
Rusk,48401
Waller,48473
Randall,48381
Crosby,48107
Hutchinson,48233
Garza,48169
Bell,48027
Carson,48065
Terry,48445
Webb,48479
Collin,48085
Lavaca,48285
Kaufman,48257
Van Zandt,48467
Ellis,48139
Fisher,48151
Gonzales,48177
Concho,48095
Shelby,48419
Stonewall,48433
