"UID","FIPS","County","State","Lat","Long","Population","Date","Cases","Deaths","Cases_100k","Cases_Capita","Deaths_100k","Deaths_Capita"
84048001,48001,"Anderson","Texas",31.81534745,-95.65354823,57735,2020-01-22,0,0,0,Inf,0,Inf
84048003,48003,"Andrews","Texas",32.30468633,-102.6376548,18705,2020-01-22,0,0,0,Inf,0,Inf
84048005,48005,"Angelina","Texas",31.25457347,-94.60901487,86715,2020-01-22,0,0,0,Inf,0,Inf
84048007,48007,"Aransas","Texas",28.10556197,-96.9995047,23510,2020-01-22,0,0,0,Inf,0,Inf
84048009,48009,"Archer","Texas",33.61569967,-98.68754589,8553,2020-01-22,0,0,0,Inf,0,Inf
84048011,48011,"Armstrong","Texas",34.96507426,-101.3574874,1887,2020-01-22,0,0,0,Inf,0,Inf
84048013,48013,"Atascosa","Texas",28.89333001,-98.52730485,51153,2020-01-22,0,0,0,Inf,0,Inf
84048015,48015,"Austin","Texas",29.88548725,-96.27736949,30032,2020-01-22,0,0,0,Inf,0,Inf
84048017,48017,"Bailey","Texas",34.06854817,-102.8299707,7000,2020-01-22,0,0,0,Inf,0,Inf
84048019,48019,"Bandera","Texas",29.74619598,-99.24598147,23112,2020-01-22,0,0,0,Inf,0,Inf
84048021,48021,"Bastrop","Texas",30.10370699,-97.31206354,88723,2020-01-22,0,0,0,Inf,0,Inf
84048023,48023,"Baylor","Texas",33.61640794,-99.21352901,3509,2020-01-22,0,0,0,Inf,0,Inf
84048025,48025,"Bee","Texas",28.41761668,-97.74215593,32565,2020-01-22,0,0,0,Inf,0,Inf
84048027,48027,"Bell","Texas",31.03736027,-97.4785025,362924,2020-01-22,0,0,0,Inf,0,Inf
84048029,48029,"Bexar","Texas",29.44928723,-98.52019748,2003554,2020-01-22,0,0,0,Inf,0,Inf
84048031,48031,"Blanco","Texas",30.26640707,-98.3999852,11931,2020-01-22,0,0,0,Inf,0,Inf
84048033,48033,"Borden","Texas",32.74363984,-101.4316509,654,2020-01-22,0,0,0,Inf,0,Inf
84048035,48035,"Bosque","Texas",31.89978581,-97.63613524,18685,2020-01-22,0,0,0,Inf,0,Inf
84048037,48037,"Bowie","Texas",33.44626922,-94.41834132,93245,2020-01-22,0,0,0,Inf,0,Inf
84048039,48039,"Brazoria","Texas",29.18757369,-95.44563172,374264,2020-01-22,0,0,0,Inf,0,Inf
84048041,48041,"Brazos","Texas",30.6636448,-96.30205577,229211,2020-01-22,0,0,0,Inf,0,Inf
84048043,48043,"Brewster","Texas",29.81008251,-103.2520326,9203,2020-01-22,0,0,0,Inf,0,Inf
84048045,48045,"Briscoe","Texas",34.53026962,-101.2084947,1546,2020-01-22,0,0,0,Inf,0,Inf
84048047,48047,"Brooks","Texas",27.03103197,-98.21808402,7093,2020-01-22,0,0,0,Inf,0,Inf
84048049,48049,"Brown","Texas",31.77430356,-98.99907113,37864,2020-01-22,0,0,0,Inf,0,Inf
84048051,48051,"Burleson","Texas",30.49273808,-96.62158484,18443,2020-01-22,0,0,0,Inf,0,Inf
84048053,48053,"Burnet","Texas",30.78801353,-98.181887,48155,2020-01-22,0,0,0,Inf,0,Inf
84048055,48055,"Caldwell","Texas",29.83668859,-97.61814775,43664,2020-01-22,0,0,0,Inf,0,Inf
84048057,48057,"Calhoun","Texas",28.47048236,-96.61633945,21290,2020-01-22,0,0,0,Inf,0,Inf
84048059,48059,"Callahan","Texas",32.29760619,-99.37326312,13943,2020-01-22,0,0,0,Inf,0,Inf
84048061,48061,"Cameron","Texas",26.14524221,-97.48140372,423163,2020-01-22,0,0,0,Inf,0,Inf
84048063,48063,"Camp","Texas",32.97195142,-94.97790104,13094,2020-01-22,0,0,0,Inf,0,Inf
84048065,48065,"Carson","Texas",35.40365929,-101.3542669,5926,2020-01-22,0,0,0,Inf,0,Inf
84048067,48067,"Cass","Texas",33.07499881,-94.34646905,30026,2020-01-22,0,0,0,Inf,0,Inf
84048069,48069,"Castro","Texas",34.53016752,-102.2617243,7530,2020-01-22,0,0,0,Inf,0,Inf
84048071,48071,"Chambers","Texas",29.70972016,-94.67154501,43837,2020-01-22,0,0,0,Inf,0,Inf
84048073,48073,"Cherokee","Texas",31.837258,-95.16559897,52646,2020-01-22,0,0,0,Inf,0,Inf
84048075,48075,"Childress","Texas",34.5293041,-100.2077916,7306,2020-01-22,0,0,0,Inf,0,Inf
