County Number,County Name,FIPS,Public Health Region,Health Service Region
1,Anderson,48001,4,4/5N
2,Andrews,48003,9,9/10x
3,Angelina,48005,5,4/5N
4,Aransas,48007,11,11
5,Archer,48009,2,2/3x
6,Armstrong,48011,1,1
7,Atascosa,48013,8,8
8,Austin,48015,6,6/5S
9,Bailey,48017,1,1
10,Bandera,48019,8,8
11,Bastrop,48021,7,7
12,Baylor,48023,2,2/3x
13,Bee,48025,11,11
14,Bell,48027,7,7
15,Bexar,48029,8,8
16,Blanco,48031,7,7
17,Borden,48033,9,9/10x
18,Bosque,48035,7,7
19,Bowie,48037,4,4/5N
20,Brazoria,48039,6,6/5S
21,Brazos,48041,7,7
22,Brewster,48043,10,9/10x
23,Briscoe,48045,1,1
24,Brooks,48047,11,11
25,Brown,48049,2,2/3x
26,Burleson,48051,7,7
27,Burnet,48053,7,7
28,Caldwell,48055,7,7
29,Calhoun,48057,8,8
30,Callahan,48059,2,2/3x
31,Cameron,48061,11,11
32,Camp,48063,4,4/5N
33,Carson,48065,1,1
34,Cass,48067,4,4/5N
35,Castro,48069,1,1
36,Chambers,48071,6,6/5S
37,Cherokee,48073,4,4/5N
38,Childress,48075,1,1
39,Clay,48077,2,2/3x
40,Cochran,48079,1,1
41,Coke,48081,9,9/10x
42,Coleman,48083,2,2/3x
43,Collin,48085,3,2/3x
44,Collingsworth,48087,1,1
45,Colorado,48089,6,6/5S
46,Comal,48091,8,8
47,Comanche,48093,2,2/3x
48,Concho,48095,9,9/10x
49,Cooke,48097,3,2/3x
50,Coryell,48099,7,7
51,Cottle,48101,2,2/3x
52,Crane,48103,9,9/10x
53,Crockett,48105,9,9/10x
54,Crosby,48107,1,1
55,Culberson,48109,10,9/10x
56,Dallam,48111,1,1
57,Dallas,48113,3,2/3x
58,Dawson,48115,9,9/10x
59,Deaf Smith,48117,1,1
60,Delta,48119,4,4/5N
61,Denton,48121,3,2/3x
62,DeWitt,48123,8,8
63,Dickens,48125,1,1
64,Dimmit,48127,8,8
65,Donley,48129,1,1
66,Duval,48131,11,11
67,Eastland,48133,2,2/3x
68,Ector,48135,9,9/10x
69,Edwards,48137,8,8
70,Ellis,48139,3,2/3x
71,El Paso,48141,10,9/10x
72,Erath,48143,3,2/3x
73,Falls,48145,7,7
74,Fannin,48147,3,2/3x
75,Fayette,48149,7,7
76,Fisher,48151,2,2/3x
77,Floyd,48153,1,1
78,Foard,48155,2,2/3x
79,Fort Bend,48157,6,6/5S
80,Franklin,48159,4,4/5N
81,Freestone,48161,7,7
82,Frio,48163,8,8
83,Gaines,48165,9,9/10x
84,Galveston,48167,6,6/5S
85,Garza,48169,1,1
86,Gillespie,48171,8,8
87,Glasscock,48173,9,9/10x
88,Goliad,48175,8,8
89,Gonzales,48177,8,8
90,Gray,48179,1,1
91,Grayson,48181,3,2/3x
92,Gregg,48183,4,4/5N
93,Grimes,48185,7,7
94,Guadalupe,48187,8,8
95,Hale,48189,1,1
96,Hall,48191,1,1
97,Hamilton,48193,7,7
98,Hansford,48195,1,1
99,Hardeman,48197,2,2/3x
100,Hardin,48199,5,6/5S
101,Harris,48201,6,6/5S
102,Harrison,48203,4,4/5N
103,Hartley,48205,1,1
104,Haskell,48207,2,2/3x
105,Hays,48209,7,7
106,Hemphill,48211,1,1
107,Henderson,48213,4,4/5N
108,Hidalgo,48215,11,11
109,Hill,48217,7,7
110,Hockley,48219,1,1
111,Hood,48221,3,2/3x
112,Hopkins,48223,4,4/5N
113,Houston,48225,5,4/5N
114,Howard,48227,9,9/10x
115,Hudspeth,48229,10,9/10x
116,Hunt,48231,3,2/3x
117,Hutchinson,48233,1,1
118,Irion,48235,9,9/10x
119,Jack,48237,2,2/3x
120,Jackson,48239,8,8
121,Jasper,48241,5,4/5N
122,Jeff Davis,48243,10,9/10x
123,Jefferson,48245,5,6/5S
124,Jim Hogg,48247,11,11
125,Jim Wells,48249,11,11
126,Johnson,48251,3,2/3x
127,Jones,48253,2,2/3x
128,Karnes,48255,8,8
129,Kaufman,48257,3,2/3x
130,Kendall,48259,8,8
131,Kenedy,48261,11,11
132,Kent,48263,2,2/3x
133,Kerr,48265,8,8
134,Kimble,48267,9,9/10x
135,King,48269,1,1
136,Kinney,48271,8,8
137,Kleberg,48273,11,11
138,Knox,48275,2,2/3x
139,Lamar,48277,4,4/5N
140,Lamb,48279,1,1
141,Lampasas,48281,7,7
142,La Salle,48283,8,8
143,Lavaca,48285,8,8
144,Lee,48287,7,7
145,Leon,48289,7,7
146,Liberty,48291,6,6/5S
147,Limestone,48293,7,7
148,Lipscomb,48295,1,1
149,Live Oak,48297,11,11
150,Llano,48299,7,7
151,Loving,48301,9,9/10x
152,Lubbock,48303,1,1
153,Lynn,48305,1,1
154,McCulloch,48307,9,9/10x
155,McLennan,48309,7,7
156,McMullen,48311,11,11
157,Madison,48313,7,7
158,Marion,48315,4,4/5N
159,Martin,48317,9,9/10x
160,Mason,48319,9,9/10x
161,Matagorda,48321,6,6/5S
162,Maverick,48323,8,8
163,Medina,48325,8,8
164,Menard,48327,9,9/10x
165,Midland,48329,9,9/10x
166,Milam,48331,7,7
167,Mills,48333,7,7
168,Mitchell,48335,2,2/3x
169,Montague,48337,2,2/3x
170,Montgomery,48339,6,6/5S
171,Moore,48341,1,1
172,Morris,48343,4,4/5N
173,Motley,48345,1,1
174,Nacogdoches,48347,5,4/5N
175,Navarro,48349,3,2/3x
176,Newton,48351,5,4/5N
177,Nolan,48353,2,2/3x
178,Nueces,48355,11,11
179,Ochiltree,48357,1,1
180,Oldham,48359,1,1
181,Orange,48361,5,6/5S
182,Palo Pinto,48363,3,2/3x
183,Panola,48365,4,4/5N
184,Parker,48367,3,2/3x
185,Parmer,48369,1,1
186,Pecos,48371,9,9/10x
187,Polk,48373,5,4/5N
188,Potter,48375,1,1
189,Presidio,48377,10,9/10x
190,Rains,48379,4,4/5N
191,Randall,48381,1,1
192,Reagan,48383,9,9/10x
193,Real,48385,8,8
194,Red River,48387,4,4/5N
195,Reeves,48389,9,9/10x
196,Refugio,48391,11,11
197,Roberts,48393,1,1
198,Robertson,48395,7,7
199,Rockwall,48397,3,2/3x
200,Runnels,48399,2,2/3x
201,Rusk,48401,4,4/5N
202,Sabine,48403,5,4/5N
203,San Augustine,48405,5,4/5N
204,San Jacinto,48407,5,4/5N
205,San Patricio,48409,11,11
206,San Saba,48411,7,7
207,Schleicher,48413,9,9/10x
208,Scurry,48415,2,2/3x
209,Shackelford,48417,2,2/3x
210,Shelby,48419,5,4/5N
211,Sherman,48421,1,1
212,Smith,48423,4,4/5N
213,Somervell,48425,3,2/3x
214,Starr,48427,11,11
215,Stephens,48429,2,2/3x
216,Sterling,48431,9,9/10x
217,Stonewall,48433,2,2/3x
218,Sutton,48435,9,9/10x
219,Swisher,48437,1,1
220,Tarrant,48439,3,2/3x
221,Taylor,48441,2,2/3x
222,Terrell,48443,9,9/10x
223,Terry,48445,1,1
224,Throckmorton,48447,2,2/3x
225,Titus,48449,4,4/5N
226,Tom Green,48451,9,9/10x
227,Travis,48453,7,7
228,Trinity,48455,5,4/5N
229,Tyler,48457,5,4/5N
230,Upshur,48459,4,4/5N
231,Upton,48461,9,9/10x
232,Uvalde,48463,8,8
233,Val Verde,48465,8,8
234,Van Zandt,48467,4,4/5N
235,Victoria,48469,8,8
236,Walker,48471,6,6/5S
237,Waller,48473,6,6/5S
238,Ward,48475,9,9/10x
239,Washington,48477,7,7
240,Webb,48479,11,11
241,Wharton,48481,6,6/5S
242,Wheeler,48483,1,1
243,Wichita,48485,2,2/3x
244,Wilbarger,48487,2,2/3x
245,Willacy,48489,11,11
246,Williamson,48491,7,7
247,Wilson,48493,8,8
248,Winkler,48495,9,9/10x
249,Wise,48497,3,2/3x
250,Wood,48499,4,4/5N
251,Yoakum,48501,1,1
252,Young,48503,2,2/3x
253,Zapata,48505,11,11
