"Date","County","Cases_Daily"
2020-03-04,"Anderson",0
2020-03-05,"Anderson",0
2020-03-06,"Anderson",0
2020-03-07,"Anderson",0
2020-03-08,"Anderson",0
2020-03-09,"Anderson",0
2020-03-10,"Anderson",0
2020-03-11,"Anderson",0
2020-03-12,"Anderson",0
2020-03-13,"Anderson",0
2020-03-14,"Anderson",0
2020-03-15,"Anderson",0
2020-03-16,"Anderson",0
2020-03-17,"Anderson",0
2020-03-18,"Anderson",0
2020-03-19,"Anderson",0
2020-03-20,"Anderson",0
2020-03-21,"Anderson",0
2020-03-22,"Anderson",0
2020-03-23,"Anderson",0
2020-03-24,"Anderson",0
2020-03-25,"Anderson",0
2020-03-26,"Anderson",0
2020-03-27,"Anderson",0
2020-03-28,"Anderson",0
2020-03-29,"Anderson",0
2020-03-30,"Anderson",0
2020-03-31,"Anderson",0
2020-04-01,"Anderson",1
2020-04-02,"Anderson",0
2020-04-03,"Anderson",0
2020-04-04,"Anderson",0
2020-04-05,"Anderson",0
2020-04-06,"Anderson",0
2020-04-07,"Anderson",0
2020-04-08,"Anderson",0
2020-04-09,"Anderson",1
2020-04-10,"Anderson",0
2020-04-11,"Anderson",1
2020-04-12,"Anderson",0
2020-04-13,"Anderson",0
2020-04-14,"Anderson",0
2020-04-15,"Anderson",1
2020-04-16,"Anderson",2
2020-04-17,"Anderson",0
2020-04-18,"Anderson",0
2020-04-19,"Anderson",2
2020-04-20,"Anderson",0
2020-04-21,"Anderson",2
2020-04-22,"Anderson",4
2020-04-23,"Anderson",0
2020-04-24,"Anderson",2
2020-04-25,"Anderson",0
2020-04-26,"Anderson",2
2020-04-27,"Anderson",1
2020-04-28,"Anderson",4
2020-04-29,"Anderson",0
2020-04-30,"Anderson",6
2020-05-01,"Anderson",1
2020-05-02,"Anderson",2
2020-05-03,"Anderson",0
2020-05-04,"Anderson",0
2020-05-05,"Anderson",2
2020-05-06,"Anderson",4
2020-05-07,"Anderson",2
2020-05-08,"Anderson",1
2020-05-09,"Anderson",0
2020-05-10,"Anderson",0
2020-05-11,"Anderson",0
2020-05-12,"Anderson",9
2020-05-13,"Anderson",0
2020-05-14,"Anderson",1
2020-05-15,"Anderson",1
2020-05-16,"Anderson",2
2020-05-17,"Anderson",0
2020-05-18,"Anderson",0
2020-05-19,"Anderson",6
2020-05-20,"Anderson",1
2020-05-21,"Anderson",2
2020-05-22,"Anderson",1
2020-05-23,"Anderson",2
2020-05-24,"Anderson",0
2020-05-25,"Anderson",0
2020-05-26,"Anderson",0
2020-05-27,"Anderson",0
2020-05-28,"Anderson",0
2020-05-29,"Anderson",6
2020-05-30,"Anderson",0
2020-05-31,"Anderson",0
2020-06-01,"Anderson",0
2020-06-02,"Anderson",4
2020-06-03,"Anderson",2
2020-06-04,"Anderson",7
2020-06-05,"Anderson",2
2020-06-06,"Anderson",0
2020-06-07,"Anderson",0
2020-06-08,"Anderson",0
2020-06-09,"Anderson",6
2020-06-10,"Anderson",0
2020-06-11,"Anderson",4
2020-06-12,"Anderson",0
2020-06-13,"Anderson",7
2020-06-14,"Anderson",0
2020-06-15,"Anderson",0
2020-06-16,"Anderson",887
2020-06-17,"Anderson",1
2020-06-18,"Anderson",13
2020-06-19,"Anderson",4
2020-06-20,"Anderson",0
2020-06-21,"Anderson",0
2020-06-22,"Anderson",0
2020-06-23,"Anderson",3
2020-06-24,"Anderson",4
2020-06-25,"Anderson",1
2020-06-26,"Anderson",3
2020-06-27,"Anderson",0
2020-06-28,"Anderson",0
2020-06-29,"Anderson",0
2020-06-30,"Anderson",16
2020-07-01,"Anderson",8
2020-07-02,"Anderson",23
2020-07-03,"Anderson",9
2020-07-04,"Anderson",0
2020-07-05,"Anderson",12
2020-07-06,"Anderson",0
2020-07-07,"Anderson",26
2020-07-08,"Anderson",44
2020-07-09,"Anderson",381
2020-07-10,"Anderson",228
2020-07-11,"Anderson",35
2020-07-12,"Anderson",0
2020-07-13,"Anderson",94
2020-07-14,"Anderson",27
2020-07-15,"Anderson",27
2020-07-16,"Anderson",12
2020-07-17,"Anderson",47
2020-07-18,"Anderson",14
2020-07-19,"Anderson",0
2020-07-20,"Anderson",0
2020-07-21,"Anderson",36
2020-07-22,"Anderson",11
2020-07-23,"Anderson",15
2020-07-24,"Anderson",39
2020-07-25,"Anderson",24
2020-07-26,"Anderson",0
2020-07-27,"Anderson",2
2020-07-28,"Anderson",20
2020-07-29,"Anderson",10
2020-07-30,"Anderson",2
2020-07-31,"Anderson",22
2020-08-01,"Anderson",13
2020-08-02,"Anderson",0
2020-08-03,"Anderson",98
2020-08-04,"Anderson",22
2020-08-05,"Anderson",26
2020-08-06,"Anderson",0
2020-08-07,"Anderson",26
2020-08-08,"Anderson",23
2020-08-09,"Anderson",0
